,left,right,top,bottom,Name,height,width
0,656,1263,8,1903,epiphone-les-paul-sl-sunset-yellow,1895,607
1,664,1255,8,1911,schecter-banshee-mach-7-evertune-fob,1903,591
2,310,653,0,959,esp-ltd-ec-256-blks-black-satin,959,343
3,632,1295,16,1902,peavey-hp2-tremolo-deep-ocean,1886,663
4,648,1271,16,1903,fender-custom-shop-61-relic-telecaster,1887,623
5,160,311,0,471,ibanez-signature-uv70p-bk-steve-vai,471,151
6,376,575,176,783,epiphone-sg-special-p-90-sbu,607,199
7,640,1287,8,1911,ibanez-ndm5-sb-noodles-10132233,1903,647
8,296,647,16,943,duesenberg-fullerton-c-c-dcf-vw,927,351
9,325,631,16,943,yamaha-pacifica-112vm-rm,927,306
10,317,639,0,959,esp-ltd-h-1001qm-stblk,959,322
11,589,1333,0,1911,esp-ltd-ex-201-black-satin,1911,744
12,592,1327,8,1911,gretsch-guitars-streamliner-g2622-p90-havanna-burst,1903,735
13,664,1255,8,1911,ibanez-signature-jemjr-wh-steve-vai,1903,591
14,621,1303,0,1914,esp-ltd-ec-1000-goldand-gold-andromeda,1914,682
15,296,663,0,959,duesenberg-starplayer-tv-hollow-vb-hlw,959,367
16,656,1263,8,1919,ibanez-gio-grg170dx-bkn,1911,607
17,656,1263,0,1919,ibanez-premium-rgt1221pb-dtf-10149483,1919,607
18,648,1263,16,1903,sandberg-california-dc-ii-hca-mf-sg,1887,615
19,648,1271,0,1919,fender-american-vintage-ii-1961-stratocaster-owt,1919,623
20,640,1271,8,1911,squier-classic-vibe-50s-stratocaster-2ts,1903,631
21,648,1271,8,1911,fender-american-professional-ii-stratocaster-rw-mbl-10130690,1903,623
22,656,1263,8,1911,squier-super-sonic-tspg-shp,1903,607
23,320,639,0,959,esp-ltd-mh-200-blk-black,959,319
24,642,1271,8,1911,fender-vintera-50-s-strat-mod-dnb,1903,629
25,648,1271,8,1911,fender-ed-o-brien-stratocaster,1903,623
26,664,1255,0,1913,schecter-keith-merrow-km-7-mk-iii-hybrid-10147927,1913,591
27,632,1287,8,1911,evh-wolfgang-special-qm-chlorine-burst,1903,655
28,344,617,56,895,ibanez-jem7vp-steve-vai-wh,839,273
29,608,1311,0,1919,squier-contemporary-active-starcaster-shg,1919,703
30,320,639,8,959,yamaha-pacifica-012-rm,951,319
